experiment,trial,top1,top5,batch_size,augmentation_level,freeze_backbone,fine_tune_from_layer,fc_hidden_size,dropout_rate,lr_multiplier_backbone,optimizer,lr,weight_decay,scheduler,step_size,gamma,factor,patience,momentum,warmup_epochs,eta_min,pct_start,div_factor
densenet161,24,0.7569636702537537,,32,randaugment,False,denseblock3,281,0.4270739050541348,0.9271835000085894,adamw,0.00012575127236188298,0.002280167046686962,warmup_cosine,,,,,,5.0,3.1791370266886174e-07,,
densenet161,26,0.8246864676475525,,32,randaugment,False,denseblock3,316,0.4011455370678302,0.503595387874908,adamw,0.00011290380075440274,0.0023239303666143405,warmup_cosine,,,,,,3.0,2.8653939636992724e-07,,
densenet161,27,0.6619141697883606,,32,randaugment,False,denseblock3,338,0.37633917313027926,0.11493486725109887,adamw,5.2849364395961744e-05,0.007689844606409902,warmup_cosine,,,,,,3.0,2.287966468633906e-07,,
densenet161,28,0.632013201713562,,32,randaugment,False,denseblock3,377,0.2857155705735328,0.01361886305503129,adamw,9.837148805255137e-05,0.025640356403357312,warmup_cosine,,,,,,3.0,2.1672417978441817e-07,,
efficientnet_v2_s,0,0.8051485419273376,,64,minimal,False,features.5,135,0.4879639408647978,0.4115716865497775,adam,0.0004059611610484307,0.00011207606211860574,step,15.0,0.5,,,,,,,
efficientnet_v2_s,1,0.8525412678718567,,64,aggressive,False,none,297,0.14881529393791154,0.0689266113392399,adamw,0.0010568529720322872,0.004201672054372531,reduce_on_plateau,,,0.1,2.0,,,,,
efficientnet_v2_s,2,0.845148503780365,,128,moderate,False,none,156,0.4947547746402069,0.29917712366085103,sgd,0.025924756604751596,0.000348771262454593,reduce_on_plateau,,,0.1,3.0,0.9385113619277876,,,,
efficientnet_v2_s,3,0.8209900856018066,,32,randaugment,False,features.6,137,0.1431565707973218,0.005905946429591528,adam,0.006533305220227739,3.151987295193886e-05,warmup_cosine,,,,,,5.0,1.8484491720988594e-06,,
efficientnet_v2_s,4,0.8473267555236816,,32,randaugment,False,features.5,292,0.42720590636899725,0.47811998212329687,adamw,0.0001390546848963277,0.0017367237151593164,warmup_cosine,,,,,,5.0,3.1883397351001856e-07,,
efficientnet_v2_s,5,0.5504290461540222,,32,moderate,False,features.6,183,0.2957811041110252,0.926789840692838,sgd,0.00298727419956384,5.439591236568524e-05,one_cycle,,,,,0.9383611062362534,,,0.1,25.0
efficientnet_v2_s,6,0.6988118886947632,,128,randaugment,False,features.6,484,0.45093574135239245,0.019611076185240744,adamw,0.0005731537801106999,0.0030458224385894067,step,15.0,0.1,,,,,,,
efficientnet_v2_s,8,0.7962376475334167,,64,minimal,False,features.5,135,0.4879639408647978,0.4115716865497775,adam,0.0004059611610484307,0.00011207606211860574,step,15.0,0.5,,,,,,,
efficientnet_v2_s,9,0.851881206035614,,64,aggressive,False,none,297,0.14881529393791154,0.0689266113392399,adamw,0.0010568529720322872,0.004201672054372531,reduce_on_plateau,,,0.1,2.0,,,,,
efficientnet_v2_s,10,0.783366322517395,,128,moderate,False,none,156,0.4947547746402069,0.29917712366085103,sgd,0.025924756604751596,0.000348771262454593,reduce_on_plateau,,,0.1,3.0,0.9385113619277876,,,,
efficientnet_v2_s,11,0.678415834903717,,64,aggressive,False,none,386,0.23264700577903058,0.07259148983360236,adamw,6.985726403811528e-05,0.06294532478500534,cosine,,,,,,,9.384607974855033e-06,,
efficientnet_v2_s,12,0.8354455232620239,,64,aggressive,False,none,280,0.10818572891898984,0.07046835618240985,adamw,0.001162936027301688,0.009605566343933083,reduce_on_plateau,,,0.1,2.0,,,,,
efficientnet_v2_s,13,0.8431023359298706,,64,aggressive,False,none,349,0.19085560466035145,0.07624517665931521,adamw,0.0010511419979597992,0.0072692696376142904,reduce_on_plateau,,,0.5,2.0,,,,,
efficientnet_v2_s,14,0.839669942855835,,64,aggressive,False,none,240,0.23473195591832197,0.029395941171574413,adamw,0.001392861186007186,0.02389525370602789,reduce_on_plateau,,,0.2,2.0,,,,,
